-------- INFORMATION ON THE DATA ---------
Shapes
Train Data: (45816, 16, 250) Train Lable: (45816, 1)
Test Data: (1824, 16, 250) Test Lable: (1824, 1)
***********************************************************************************
Number of NANs in the data
Train Data: 0 Train Lable: 0
Test Data: 0 Test Lable: 0
***********************************************************************************
Some stats on the data
Number of 'non sick' samples: 24732
Count voltage values > 10,000: 0
Count voltage values < -10,000: 0
**************************************** FULL DATASET *******************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 24732
Maximum Value in Data Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.4895857660592988
Standard Daviation in Data Set: 0.07561770584016739
************************************* TRAINING DATASET **********************************************
Number of 'sick' samples: 22908
Number of 'non sick' samples: 22908
Maximum Value in Training Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.48845966540634095
Standard Daviation in Data Set: 0.07650526931912283
*************************************** TESTING DATASET ********************************************
Number of 'sick' samples: 0
Number of 'non sick' samples: 1824
Maximum Value in Testing Set: 1.0
Minimum Value in Data Set: 0.0
Mean Value in Data Set: 0.5178716364079491
Standard Daviation in Data Set: 0.03866051271609326
epoch: 98, lr: 0.01, accuracy: tensor(0.6528, device='cuda:0'), loss: 0.5936553478240967, valid accuracy: tensor(0.5033, device='cuda:0')
epoch: 99, lr: 0.01, accuracy: tensor(0.6245, device='cuda:0'), loss: 0.7696829438209534, valid accuracy: tensor(0., device='cuda:0')
epoch: 100, lr: 0.01, accuracy: tensor(0.5511, device='cuda:0'), loss: 0.6547881364822388, valid accuracy: tensor(0.8602, device='cuda:0')
epoch: 101, lr: 0.01, accuracy: tensor(0.6317, device='cuda:0'), loss: 0.6563585996627808, valid accuracy: tensor(0.2840, device='cuda:0')
epoch: 102, lr: 0.01, accuracy: tensor(0.6491, device='cuda:0'), loss: 0.6297135949134827, valid accuracy: tensor(0.1404, device='cuda:0')
epoch: 103, lr: 0.01, accuracy: tensor(0.6446, device='cuda:0'), loss: 0.643124520778656, valid accuracy: tensor(0.0302, device='cuda:0')
epoch: 104, lr: 0.01, accuracy: tensor(0.6419, device='cuda:0'), loss: 0.619936466217041, valid accuracy: tensor(0.7604, device='cuda:0')
epoch: 105, lr: 0.01, accuracy: tensor(0.6470, device='cuda:0'), loss: 0.649192214012146, valid accuracy: tensor(0.1497, device='cuda:0')
epoch: 106, lr: 0.01, accuracy: tensor(0.6522, device='cuda:0'), loss: 0.6221053004264832, valid accuracy: tensor(0.9934, device='cuda:0')
epoch: 107, lr: 0.01, accuracy: tensor(0.6267, device='cuda:0'), loss: 0.6213495135307312, valid accuracy: tensor(0.8514, device='cuda:0')
epoch: 108, lr: 0.01, accuracy: tensor(0.6537, device='cuda:0'), loss: 0.5970351099967957, valid accuracy: tensor(0.0773, device='cuda:0')
epoch: 109, lr: 0.01, accuracy: tensor(0.6576, device='cuda:0'), loss: 0.5908282995223999, valid accuracy: tensor(0.3586, device='cuda:0')
epoch: 110, lr: 0.01, accuracy: tensor(0.6628, device='cuda:0'), loss: 0.6210160255432129, valid accuracy: tensor(0.2451, device='cuda:0')
epoch: 111, lr: 0.01, accuracy: tensor(0.6617, device='cuda:0'), loss: 0.5958977937698364, valid accuracy: tensor(0.0280, device='cuda:0')
epoch: 112, lr: 0.01, accuracy: tensor(0.6695, device='cuda:0'), loss: 0.596225380897522, valid accuracy: tensor(0.2171, device='cuda:0')
epoch: 113, lr: 0.01, accuracy: tensor(0.6507, device='cuda:0'), loss: 0.6340619325637817, valid accuracy: tensor(0.0066, device='cuda:0')
epoch: 114, lr: 0.01, accuracy: tensor(0.6602, device='cuda:0'), loss: 0.6074150204658508, valid accuracy: tensor(0.4534, device='cuda:0')
epoch: 115, lr: 0.01, accuracy: tensor(0.6829, device='cuda:0'), loss: 0.6031824946403503, valid accuracy: tensor(0.9079, device='cuda:0')
epoch: 116, lr: 0.01, accuracy: tensor(0.6862, device='cuda:0'), loss: 0.5967761278152466, valid accuracy: tensor(0.1897, device='cuda:0')
epoch: 117, lr: 0.01, accuracy: tensor(0.6759, device='cuda:0'), loss: 0.6842768788337708, valid accuracy: tensor(0.0049, device='cuda:0')
epoch: 118, lr: 0.01, accuracy: tensor(0.6721, device='cuda:0'), loss: 0.584229588508606, valid accuracy: tensor(0.4167, device='cuda:0')
epoch: 119, lr: 0.01, accuracy: tensor(0.6932, device='cuda:0'), loss: 0.5840392112731934, valid accuracy: tensor(0.8525, device='cuda:0')
epoch: 120, lr: 0.01, accuracy: tensor(0.6956, device='cuda:0'), loss: 0.570542573928833, valid accuracy: tensor(0.1595, device='cuda:0')
epoch: 121, lr: 0.01, accuracy: tensor(0.6656, device='cuda:0'), loss: 0.5904634594917297, valid accuracy: tensor(0.5543, device='cuda:0')
epoch: 122, lr: 0.01, accuracy: tensor(0.7091, device='cuda:0'), loss: 0.5637779235839844, valid accuracy: tensor(0.6239, device='cuda:0')
epoch: 123, lr: 0.01, accuracy: tensor(0.6835, device='cuda:0'), loss: 0.581444501876831, valid accuracy: tensor(0.4764, device='cuda:0')
epoch: 124, lr: 0.01, accuracy: tensor(0.7249, device='cuda:0'), loss: 0.5607084035873413, valid accuracy: tensor(0.4929, device='cuda:0')
epoch: 125, lr: 0.01, accuracy: tensor(0.6954, device='cuda:0'), loss: 0.57177734375, valid accuracy: tensor(0.3432, device='cuda:0')
epoch: 126, lr: 0.01, accuracy: tensor(0.6931, device='cuda:0'), loss: 0.5501741170883179, valid accuracy: tensor(0.1826, device='cuda:0')
epoch: 127, lr: 0.01, accuracy: tensor(0.6959, device='cuda:0'), loss: 0.5763750076293945, valid accuracy: tensor(0.3684, device='cuda:0')
